term,E,P,A,E2,P2,A2
raunchy,-0.94,0.03,1.42,-0.94,0.03,1.42
reasonable,3.02,2.43,-0.77,3.02,2.43,-0.77
rebellious,-0.38,1.43,2.03,-0.38,1.43,2.03
reckless,-1.83,0.13,2.45,-1.83,0.13,2.45
reclusive,-1.08,-1.26,-2.45,-1.08,-1.26,-2.45
refined,2.1,1.54,-0.92,2.1,1.54,-0.92
regretful,-1.96,-0.81,-1.44,-1.96,-0.81,-1.44
rejected,-2.26,1.4,0.62,-2.26,1.4,0.62
relaxed,2.98,1.24,-2.54,2.98,1.24,-2.54
relentless,0.27,1.7,1.19,0.27,1.7,1.19
reliable,3.46,2.72,0.1,3.46,2.72,0.1
relieved,2.95,2.51,-0.52,2.95,2.51,-0.52
religious,1.27,1.24,0.18,1.27,1.24,0.18
remorseful,-0.19,0.38,-1.19,-0.19,0.38,-1.19
repentant,1.1,0.95,-1.07,1.1,0.95,-1.07
resentful,-1.98,-0.6,-1.08,-1.98,-0.6,-1.08
reserved,1,0.29,-2.29,1,0.29,-2.29
resigned,-0.69,-0.75,-0.99,-0.69,-0.75,-0.99
resourceful,3,2.37,0.59,3,2.37,0.59
respectful,3.42,2.51,-0.69,3.42,2.51,-0.69
responsible,3.35,2.96,0.17,3.35,2.96,0.17
restless,-1.26,-0.5,0.84,-1.26,-0.5,0.84
revengeful,-2.45,1.04,0.83,-2.45,1.04,0.83
reverent,1.3,1.08,-0.77,1.3,1.08,-0.77
rich,2.03,2.97,1.61,2.03,2.97,1.61
rigid,-0.84,-0.05,-0.92,-0.84,-0.05,-0.92
romantic,2.84,2.16,0.08,2.84,2.16,0.08
rude,-3.03,-0.04,1.74,-3.03,-0.04,1.74
rueful,-1.15,0.27,0.37,-1.15,0.27,0.37
ruthless,-1.92,1.65,1.46,-1.92,1.65,1.46
sad,-2.37,-1.5,-2.04,-2.37,-1.5,-2.04
sadistic,-2.41,1.3,0.18,-2.41,1.3,0.18
saintly,2.54,1.89,-0.97,2.54,1.89,-0.97
sarcastic,0.11,0.76,1.3,0.11,0.76,1.3
satisfied,3.12,2.47,0.12,3.12,2.47,0.12
scared,-2.11,-1.5,0.42,-2.11,-1.5,0.42
scheming,-1.57,1.05,0.11,-1.57,1.05,0.11
scornful,-2.08,0.12,0.76,-2.08,0.12,0.76
secretive,-0.46,0.95,-1.86,-0.46,0.95,-1.86
secure,2.9,2.62,-0.5,2.9,2.62,-0.5
self_assured,2.36,2.68,0.18,2.36,2.68,0.18
self_centered,-2.62,-0.56,0.87,-2.62,-0.56,0.87
self_confident,3.03,2.99,0.98,3.03,2.99,0.98
self_conscious,-1.95,-1.03,-1.1,-1.95,-1.03,-1.1
self_disciplined,2.89,3.13,-0.63,2.89,3.13,-0.63
self_pitying,-2.46,-1.68,-1.67,-2.46,-1.68,-1.67
self_righteous,-0.61,0.41,1.26,-0.61,0.41,1.26
self_sacrificing,2.2,2.38,0.1,2.2,2.38,0.1
self_satisfied,2.62,2.53,0.47,2.62,2.53,0.47
selfish,-2.7,-0.35,0.31,-2.7,-0.35,0.31
sensitive,0.75,0.12,-1.14,0.75,0.12,-1.14
sensuous,1.31,1.63,-1.23,1.31,1.63,-1.23
sentimental,1.69,0.58,-1.03,1.69,0.58,-1.03
serene,2.81,1.79,-1.99,2.81,1.79,-1.99
serious,1.03,1.71,-1.16,1.03,1.71,-1.16
sexy,1.66,2.23,0.97,1.66,2.23,0.97
shaken,-1.69,-0.66,0.45,-1.69,-0.66,0.45
shallow,-2.24,-1.5,0.16,-2.24,-1.5,0.16
shocked,-0.47,0.83,1.17,-0.47,0.83,1.17
shook_up,-1.94,-0.41,0.56,-1.94,-0.41,0.56
showy,-1.28,0.16,2.02,-1.28,0.16,2.02
shrewd,-1.24,0.25,0.1,-1.24,0.25,0.1
shy,-0.36,-1.33,-2.45,-0.36,-1.33,-2.45
sickened,-2.82,-1.01,-1.1,-2.82,-1.01,-1.1
silly,1.91,0.55,2.24,1.91,0.55,2.24
simpleminded,-0.92,-1.74,-1.73,-0.92,-1.74,-1.73
sincere,3.24,2.64,-0.77,3.24,2.64,-0.77
single,0.3,0.85,0.04,0.3,0.85,0.04
skeptical,0.61,0.58,-0.31,0.61,0.58,-0.31
slack,-1.62,-1.6,-1.98,-1.62,-1.6,-1.98
sloppy,-2.15,-1.17,0.8,-2.15,-1.17,0.8
slothful,-2.28,-1.99,-2.89,-2.28,-1.99,-2.89
sluggish,-1.77,-2.03,-2.85,-1.77,-2.03,-2.85
sly,-0.42,0.79,-1.14,-0.42,0.79,-1.14
smug,-1.25,-0.2,-0.09,-1.25,-0.2,-0.09
sniveling,-1.77,-1.11,0.51,-1.77,-1.11,0.51
snobbish,-2.77,-0.52,0.66,-2.77,-0.52,0.66
snooty,-2.53,-0.73,1.08,-2.53,-0.73,1.08
snowed,0.16,-0.37,-0.56,0.16,-0.37,-0.56
sociable,2.7,2.27,2.38,2.7,2.27,2.38
soft_spoken,0.18,-1.31,-2.43,0.18,-1.31,-2.43
softhearted,1.75,0.4,-1.1,1.75,0.4,-1.1
solemn,0.22,0.26,-2.06,0.22,0.26,-2.06
sophisticated,2.23,2.18,0.15,2.23,2.18,0.15
sorrowful,-2.11,-0.94,-2.12,-2.11,-0.94,-2.12
sorry,0.23,-0.21,-1.36,0.23,-0.21,-1.36
spacey,-0.57,-1.05,-1.78,-0.57,-1.05,-1.78
spirited,2.52,2.32,2.05,2.52,2.32,2.05
spiteful,-2.39,-0.19,0.35,-2.39,-0.19,0.35
spoiled,-1.77,0.34,1.3,-1.77,0.34,1.3
squeamish,-1.87,-0.97,-0.3,-1.87,-0.97,-0.3
stable,2.78,2.21,-0.63,2.78,2.21,-0.63
steadfast,1.89,2.07,-0.04,1.89,2.07,-0.04
stingy,-2.05,0.01,0.03,-2.05,0.01,0.03
stoned,-1.88,-0.51,-0.48,-1.88,-0.51,-0.48
straightforward,2.29,2.35,1.03,2.29,2.35,1.03
strange,0.48,0.44,0.31,0.48,0.44,0.31
strict,-0.18,1.5,0.69,-0.18,1.5,0.69
strong,2.47,2.96,0.6,2.47,2.96,0.6
strong_willed,2.02,2.8,1.25,2.02,2.8,1.25
stubborn,-1.24,-0.09,0.34,-1.24,-0.09,0.34
studious,3.11,2.23,-1.62,3.11,2.23,-1.62
stunned,-0.34,0.11,-0.07,-0.34,0.11,-0.07
stupid,-2.31,-2.1,-1.09,-2.31,-2.1,-1.09
subdued,-1.43,-1,-0.92,-1.43,-1,-0.92
submissive,-1.35,-1.9,-2.02,-1.35,-1.9,-2.02
successful,3.24,3.27,1.13,3.24,3.27,1.13
suicidal,-3.64,-0.85,-2.36,-3.64,-0.85,-2.36
superstitious,-0.87,-0.76,-0.11,-0.87,-0.76,-0.11
surprised,1.38,1.38,2.31,1.38,1.38,2.31
suspicious,-0.67,0.24,-0.95,-0.67,0.24,-0.95
sympathetic,2.65,1.98,-1.11,2.65,1.98,-1.11
taciturn,-0.28,-0.34,-0.84,-0.28,-0.34,-0.84
tactful,2.31,1.94,-0.77,2.31,1.94,-0.77
tactless,-1.63,-1.22,0.83,-1.63,-1.22,0.83
