term,E,P,A,E2,P2,A2
collaborate_with,2.28,2.14,0.81,2.28,2.14,0.81
combat,-1.33,1.29,1.92,-1.33,1.29,1.92
comfort,3.40,2.58,-1.45,3.40,2.58,-1.45
command,-0.47,2.24,1.65,-0.47,2.24,1.65
commend,2.22,1.91,0.41,2.22,1.91,0.41
compensate,2.42,1.47,-0.02,2.42,1.47,-0.02
compete_with,1.33,1.56,1.84,1.33,1.56,1.84
complain_about,-1.69,-0.84,1.02,-1.69,-0.84,1.02
complain_to,-0.99,-0.61,1.37,-0.99,-0.61,1.37
compliment,3.03,2.59,0.57,3.03,2.59,0.57
comply_with,1.06,0.00,-0.56,1.06,0.00,-0.56
compromise_with,2.18,2.01,-0.15,2.18,2.01,-0.15
con,-2.72,0.93,0.64,-2.72,0.93,0.64
concede_to,-0.46,-0.78,-1.17,-0.46,-0.78,-1.17
concur_with,1.72,1.17,-0.04,1.72,1.17,-0.04
condemn,-2.51,1.52,1.00,-2.51,1.52,1.00
confer_with,1.63,1.47,-0.12,1.63,1.47,-0.12
confess_to,1.68,1.63,0.00,1.68,1.63,0.00
confide_in,2.01,1.74,-1.24,2.01,1.74,-1.24
confine,-2.09,1.16,-0.13,-2.09,1.16,-0.13
confound,-0.33,1.05,0.38,-0.33,1.05,0.38
confront,0.46,2.00,1.28,0.46,2.00,1.28
confuse,-1.13,0.63,0.09,-1.13,0.63,0.09
congratulate,2.89,2.12,1.52,2.89,2.12,1.52
consider,2.06,1.42,-0.20,2.06,1.42,-0.20
console,2.79,2.12,-1.14,2.79,2.12,-1.14
conspire_against,-2.30,1.33,-0.26,-2.30,1.33,-0.26
conspire_with,-0.43,1.40,-0.10,-0.43,1.40,-0.10
constrain,-2.01,1.49,0.59,-2.01,1.49,0.59
consult,1.87,1.17,-0.05,1.87,1.17,-0.05
contact,1.55,1.27,0.78,1.55,1.27,0.78
contemplate,0.95,1.10,-1.27,0.95,1.10,-1.27
contradict,-0.31,0.67,0.71,-0.31,0.67,0.71
control,-2.01,2.41,0.26,-2.01,2.41,0.26
converse_with,2.28,1.69,0.89,2.28,1.69,0.89
convert,0.18,2.07,-0.11,0.18,2.07,-0.11
convict,-0.35,2.03,0.65,-0.35,2.03,0.65
convince,1.14,2.15,0.57,1.14,2.15,0.57
cooperate_with,2.83,1.74,-0.42,2.83,1.74,-0.42
corner,-1.70,1.73,1.04,-1.70,1.73,1.04
correct,0.54,1.05,0.85,0.54,1.05,0.85
corrupt,-3.08,2.03,-0.04,-3.08,2.03,-0.04
counsel,2.64,2.23,-0.93,2.64,2.23,-0.93
court,2.01,1.67,-0.30,2.01,1.67,-0.30
cripple,-3.29,1.50,0.84,-3.29,1.50,0.84
criticize,-1.06,0.87,1.17,-1.06,0.87,1.17
cross_examine,0.07,1.26,0.72,0.07,1.26,0.72
cry_for,0.40,0.68,0.09,0.40,0.68,0.09
cuddle,3.17,1.68,-1.72,3.17,1.68,-1.72
cue,1.20,1.51,0.17,1.20,1.51,0.17
cure,3.68,3.59,0.29,3.68,3.59,0.29
curry_favor_from,0.30,0.17,0.32,0.30,0.17,0.32
curse,-2.50,0.28,1.25,-2.50,0.28,1.25
curtsey_to,1.52,0.15,-0.84,1.52,0.15,-0.84
cut,-3.07,1.62,0.60,-3.07,1.62,0.60
cut_off_relations_with,-0.95,1.48,-0.04,-0.95,1.48,-0.04
