term,E,P,A,E2,P2,A2
stunned,-0.85,-0.58,-0.35,-0.85,-0.58,-0.35
stupid,-2.6,-2.2,-0.82,-2.6,-2.2,-0.82
subdued,-1.42,-1.67,-0.99,-1.42,-1.67,-0.99
submissive,-0.91,-2.37,-2.14,-0.91,-2.37,-2.14
successful,3.05,2.61,1.82,3.05,2.61,1.82
suicidal,-3.51,-2.04,-1.37,-3.51,-2.04,-1.37
superstitious,-0.95,-1.27,-0.15,-0.95,-1.27,-0.15
surprised,0.91,0.09,1.7,0.91,0.09,1.7
suspicious,-0.89,-0.43,-0.54,-0.89,-0.43,-0.54
sympathetic,2.6,1.23,-0.89,2.6,1.23,-0.89
taciturn,-0.61,-0.83,-1.63,-0.61,-0.83,-1.63
tactful,2.66,1.64,-0.74,2.66,1.64,-0.74
tactless,-2.21,-1.05,0.51,-2.21,-1.05,0.51
talented,3.05,2.38,1.64,3.05,2.38,1.64
talkative,0.63,0.77,2.4,0.63,0.77,2.4
team_spirited,2.14,1.58,2.36,2.14,1.58,2.36
temperamental,-1.6,-0.19,1.53,-1.6,-0.19,1.53
tense,-1.94,-0.97,0.38,-1.94,-0.97,0.38
terrified,-3,-1.9,1.13,-3,-1.9,1.13
thankful,3.08,1.64,0,3.08,1.64,0
thoughtful,2.97,1.74,-0.61,2.97,1.74,-0.61
thoughtless,-2.46,-1.78,-1.04,-2.46,-1.78,-1.04
thrilled,2.52,1.81,2.2,2.52,1.81,2.2
timid,-1.26,-2.33,-2.31,-1.26,-2.33,-2.31
tired,-1.39,-1.67,-2.84,-1.39,-1.67,-2.84
tolerant,2.72,1.6,-0.35,2.72,1.6,-0.35
tormented,-3.23,-1.56,0.18,-3.23,-1.56,0.18
tough,1.35,2.28,1.45,1.35,2.28,1.45
tranquil,2.57,0.86,-2.8,2.57,0.86,-2.8
troubled,-2.29,-1.72,-0.65,-2.29,-1.72,-0.65
trusting,2,1.36,-0.47,2,1.36,-0.47
ugly,-1.82,-1.79,-1,-1.82,-1.79,-1
unambitious,-1.94,-2.2,-2.25,-1.94,-2.2,-2.25
unattractive,-1.42,-1.65,-1.13,-1.42,-1.65,-1.13
uncertain,-1.04,-1.66,-1.07,-1.04,-1.66,-1.07
uncomfortable,-1.8,-1.65,-1.37,-1.8,-1.65,-1.37
unconventional,1.1,0.7,0.75,1.1,0.7,0.75
understanding,3.04,2.25,-0.42,3.04,2.25,-0.42
uneasy,-1.9,-1.4,-0.74,-1.9,-1.4,-0.74
uneducated,-2.6,-2.47,-1.79,-2.6,-2.47,-1.79
unemployed,-2.57,-2.55,-2.06,-2.57,-2.55,-2.06
unfair,-2.87,0.34,0.5,-2.87,0.34,0.5
unforgiving,-2.5,-0.46,-1.04,-2.5,-0.46,-1.04
unfriendly,-2.63,-0.62,-0.3,-2.63,-0.62,-0.3
ungrateful,-2.94,-1.11,-0.35,-2.94,-1.11,-0.35
unhappy,-2.89,-1.47,-1.95,-2.89,-1.47,-1.95
unhealthy,-2.99,-1.71,-2.09,-2.99,-1.71,-2.09
unhelpful,-2.39,-1.01,-1.64,-2.39,-1.01,-1.64
unimaginative,-2.07,-1.93,-1.98,-2.07,-1.93,-1.98
unique,2.12,1.38,0.79,2.12,1.38,0.79
unkind,-3.16,-0.25,0.82,-3.16,-0.25,0.82
unlucky,-2.59,-2.02,-0.8,-2.59,-2.02,-0.8
unmotivated,-2.3,-2.14,-2.67,-2.3,-2.14,-2.67
unpopular,-1.33,-2.01,-1.46,-1.33,-2.01,-1.46
unreasonable,-2.3,-0.34,1.37,-2.3,-0.34,1.37
unreliable,-3.05,-2.02,-1.23,-3.05,-2.02,-1.23
unsatisfied,-2.27,-1.71,-0.91,-2.27,-1.71,-0.91
unscrupulous,-2.19,0.38,0.71,-2.19,0.38,0.71
unselfish,2.9,2.03,-0.68,2.9,2.03,-0.68
unsophisticated,-1.21,-1.48,-0.45,-1.21,-1.48,-0.45
unsportsmanlike,-2.66,-1.12,1.47,-2.66,-1.12,1.47
unstable,-2.6,-1.91,0.96,-2.6,-1.91,0.96
unsuccessful,-2.09,-2.18,-1.51,-2.09,-2.18,-1.51
upset,-2.15,-1.19,-0.05,-2.15,-1.19,-0.05
