term,E,P,A,E2,P2,A2
defense_attorney,1.2,1.99,1.86,1.2,1.99,1.86
degenerate,-2.49,-1.47,-0.1,-2.49,-1.47,-0.1
delinquent,-2.47,-0.62,1.23,-2.47,-0.62,1.23
demon,-3.35,2.28,2,-3.35,2.28,2
dental_assistant,1.95,0.33,0.55,1.95,0.33,0.55
dental_hygienist,1.95,0.69,0.82,1.95,0.69,0.82
dentist,1.97,1.67,1.05,1.97,1.67,1.05
deputy,1.9,1.89,1.27,1.9,1.89,1.27
detective,1.67,1.85,0.34,1.67,1.85,0.34
devil,-3.27,1.39,1.26,-3.27,1.39,1.26
dietitican,1.99,0.88,0.4,1.99,0.88,0.4
dimwit,-1.97,-2.45,-1.38,-1.97,-2.45,-1.38
diner,1.87,0.32,1.71,1.87,0.32,1.71
diplomat,1.65,2.23,0.92,1.65,2.23,0.92
disabled_person,0.35,-1.12,-1.11,0.35,-1.12,-1.11
disciplinarian,0.63,2.25,1.31,0.63,2.25,1.31
dishwasher,1.97,0.12,1.78,1.97,0.12,1.78
disregard,-1.37,0.01,-0.59,-1.37,0.01,-0.59
district_attorney,0.91,2.49,1.79,0.91,2.49,1.79
divorce,-1.19,0.07,0.76,-1.19,0.07,0.76
divorce_lawyer,-0.07,1.81,1.47,-0.07,1.81,1.47
divorcee,-0.97,0.03,-0.34,-0.97,0.03,-0.34
do_nothing,-2.25,-2.53,-2.84,-2.25,-2.53,-2.84
doctor,2.59,2.56,1.29,2.59,2.56,1.29
doll,1.26,-2.42,-2.66,1.26,-2.42,-2.66
dolt,-1.72,-2.05,-1.1,-1.72,-2.05,-1.1
dope,-1.89,-2.02,-1.5,-1.89,-2.02,-1.5
drag_queen,0.25,0.53,1.77,0.25,0.53,1.77
dropout,-2.05,-2.05,-1.33,-2.05,-2.05,-1.33
drug_addict,-2.55,-2.42,0.11,-2.55,-2.42,0.11
drug_dealer,-2.87,1.23,1.22,-2.87,1.23,1.22
drunk,-2.18,-1.89,0.89,-2.18,-1.89,0.89
drunkard,-2.33,-1.88,0.83,-2.33,-1.88,0.83
dude,0.7,0.44,0.64,0.7,0.44,0.64
dummy,-1.45,-2.24,-1.52,-1.45,-2.24,-1.52
dunce,-1.8,-2.16,-1.41,-1.8,-2.16,-1.41
economist,1.05,0.82,-0.14,1.05,0.82,-0.14
editor,1.49,1.48,0.9,1.49,1.48,0.9
education_administrator,1.81,1.59,1.09,1.81,1.59,1.09
educator,2.8,1.97,0.99,2.8,1.97,0.99
electrical_engineer,2.26,1.67,0.58,2.26,1.67,0.58
electrical_linesman,1.53,0.74,0.83,1.53,0.74,0.83
electrician,1.56,0.91,0.99,1.56,0.91,0.99
elementary_school_student,1.65,-1.24,2.35,1.65,-1.24,2.35
