term,E,P,A,E2,P2,A2
bus_driver,1.33,0.15,0.15,1.33,0.15,0.15
busboy,0.85,-1.06,0.6,0.85,-1.06,0.6
businessman,0.69,1.82,1.25,0.69,1.82,1.25
businesswoman,1.86,2.27,1.72,1.86,2.27,1.72
busybody,0.36,0.62,2.43,0.36,0.62,2.43
butcher,0.63,0.85,0.74,0.63,0.85,0.74
bystander,-0.05,-0.54,-1.31,-0.05,-0.54,-1.31
cabinet_maker,1.06,0.62,0.29,1.06,0.62,0.29
cabinet_member,0.55,1.82,0.48,0.55,1.82,0.48
cad,-1.17,-0.57,0.97,-1.17,-0.57,0.97
call_girl,-1.08,-0.66,1.03,-1.08,-0.66,1.03
capitalist,0.65,1.71,1.29,0.65,1.71,1.29
captive,-1.14,-2.66,-0.87,-1.14,-2.66,-0.87
carpenter,1.26,0.69,1.02,1.26,0.69,1.02
cashier,0.61,-0.75,0.45,0.61,-0.75,0.45
casual_laborer,0.8,-0.43,-0.07,0.8,-0.43,-0.07
celebrity,0.3,2.17,2.05,0.3,2.17,2.05
cement_worker,0.74,0.08,0.83,0.74,0.08,0.83
censor,-0.84,1.64,-0.22,-0.84,1.64,-0.22
chain_smoker,-2.4,-1.7,-0.65,-2.4,-1.7,-0.65
chairman,0.62,2.46,0.63,0.62,2.46,0.63
chairman_of_the_board,0.92,2.95,1.01,0.92,2.95,1.01
chairperson,1.03,2.52,0.83,1.03,2.52,0.83
chairwoman,1.45,2.35,0.93,1.45,2.35,0.93
chambermaid,0.39,-1.43,-0.75,0.39,-1.43,-0.75
champion,2.29,2.86,1.93,2.29,2.86,1.93
chap,1.12,0.08,0.45,1.12,0.08,0.45
chaperone,0.93,1.33,-0.12,0.93,1.33,-0.12
chaplain,2.04,1.7,-0.31,2.04,1.7,-0.31
chatterbox,-0.42,0.27,2.96,-0.42,0.27,2.96
chauffeur,1.41,-0.39,-0.71,1.41,-0.39,-0.71
cheat,-3.03,-0.58,-0.14,-3.03,-0.58,-0.14
cheerleader,1.08,0.09,3.05,1.08,0.09,3.05
chef,1.91,1.49,1.82,1.91,1.49,1.82
chemical_engineer,1.69,1.86,-0.43,1.69,1.86,-0.43
chemist,1.61,1.78,-0.63,1.61,1.78,-0.63
chief_operations_officer,0.94,2.52,1.11,0.94,2.52,1.11
child,1.97,-1.17,1.99,1.97,-1.17,1.99
child_molester,-4.17,0.15,-0.91,-4.17,0.15,-0.91
chiropractor,1.63,1.28,-0.3,1.63,1.28,-0.3
choreographer,1.31,1.13,2.12,1.31,1.13,2.12
chum,-0.84,-1.16,-0.82,-0.84,-1.16,-0.82
church_deacon,1.44,1.43,-0.13,1.44,1.43,-0.13
citizen,1.42,1,0.52,1.42,1,0.52
city_councilor,0.57,1.89,0.8,0.57,1.89,0.8
civil_engineer,1.84,1.58,-0.03,1.84,1.58,-0.03
civil_servant,1.13,-0.42,-0.54,1.13,-0.42,-0.54
classmate,1,0.21,0.27,1,0.21,0.27
cleaning_woman,1.65,-0.06,-0.02,1.65,-0.06,-0.02
clergy,0.94,1.42,-0.64,0.94,1.42,-0.64
clerical_worker,1.1,-0.08,-0.55,1.1,-0.08,-0.55
clerk,1.02,-0.39,-0.11,1.02,-0.39,-0.11
client,1.39,1.27,0.92,1.39,1.27,0.92
clod,-1.18,-0.48,-0.34,-1.18,-0.48,-0.34
clown,-0.18,-1.15,2.03,-0.18,-1.15,2.03
co_worker,1.39,0.25,0.43,1.39,0.25,0.43
coach,2.02,2.6,2.34,2.02,2.6,2.34
coal_miner,0.78,0.02,0.48,0.78,0.02,0.48
collaborator,1.42,1.34,0.76,1.42,1.34,0.76
colleague,1.57,1.02,0.39,1.57,1.02,0.39
college_student,1.78,0.4,1.81,1.78,0.4,1.81
comedian,1.85,1.16,2.97,1.85,1.16,2.97
commentator,0.98,0.96,1.94,0.98,0.96,1.94
commissioned_officer,1.33,2.06,0.89,1.33,2.06,0.89
commissioner,0.88,1.77,0.59,0.88,1.77,0.59
communist,-1.41,0.58,0.42,-1.41,0.58,0.42
companion,3.11,2.1,0.4,3.11,2.1,0.4
competitor,0.35,1.88,1.59,0.35,1.88,1.59
computer_programmer,1.59,1.54,-0.03,1.59,1.54,-0.03
computer_security_specialist,1.52,1.46,-0.67,1.52,1.46,-0.67
computer_support_specialist,1.45,0.76,0.07,1.45,0.76,0.07
con_artist,-2.52,1.42,0.86,-2.52,1.42,0.86
