charge,-0.6835,1.3327,1.2581,1.4614,1.8406,1.3204
abet,0.0913,0.5965,-0.0295,1.3472,0.4133,0.5887
doubt,-0.8400,0.4807,-0.4956,1.8578,2.7663,1.4822
overwhelm,-1.0993,1.6214,1.7280,1.9343,2.1308,1.9053
approach,1.5900,1.5193,0.7489,1.2656,1.5941,1.5714
transact business with,1.4393,1.5164,0.5727,1.4629,1.4283,2.2748
elect,1.8608,2.7462,1.7562,2.8188,1.0335,2.4592
contradict,-0.3115,0.6677,0.7115,1.2746,1.5359,2.3644
avoid,-1.4146,-0.3100,-0.6231,0.9717,3.4611,3.3590
trust,3.3438,3.0354,-0.0615,0.9816,1.6795,4.3541
haunt,-2.6015,1.8731,-0.8769,1.7642,3.6929,4.3224
humiliate,-3.2438,0.8185,1.2723,1.1892,7.6419,4.2035
captivate,2.2677,2.9208,1.4754,1.8471,1.9520,2.5528
wait on,0.6531,-0.7069,-1.7877,4.5868,3.8332,3.0509
gratify,2.6454,2.3738,0.8823,1.6101,1.4253,3.0327
abhor,-2.1276,0.8962,0.6229,2.7946,4.9022,3.4304
negotiate with,2.1477,2.3131,1.1131,1.0321,1.6216,2.9067
slug,-2.7208,1.0640,1.4544,1.5979,5.3095,4.4982
hypnotize,-0.1062,1.9208,-0.7885,1.4664,3.2984,4.3274
give medical treatment to,3.0785,2.8008,1.5662,1.6526,3.9515,4.1513
eat with,2.7069,1.2454,0.9962,1.5325,2.6927,2.7510
degrade,-3.5238,0.7500,0.1831,0.9592,9.1125,5.2126
kill,-4.2646,1.9523,-0.1092,0.0261,9.4948,10.4578
sleep with,1.1528,2.2064,1.2512,2.9408,1.7487,4.1341
belittle,-3.3685,0.0123,-0.1177,1.1323,8.7667,6.9231
turn to,1.9100,1.1423,-0.1731,3.5339,3.4623,2.0902
speak to,2.3138,1.5192,1.6869,1.8016,3.3762,1.6963
rouse,0.6336,1.1360,1.3520,2.7914,2.2148,2.1169
