minor,identity, 11 001000000 000
miser,identity, 11 100000000 000
missionary,identity, 11 000000100 000
mistress,identity, 01 000000001 001
mobster,identity, 10 011000000 000
moron,identity, 11 100000000 000
motel_owner,identity, 11 010000000 000
mother,identity, 01 000000010 001
mother_in_law,identity, 01 000000010 000
mourner,identity, 11 000000100 100
mugger,identity, 10 001000000 001
murderer,identity, 11 001000000 001
murderess,identity, 01 001000000 000
musician,identity, 11 010010000 000
myself_as_I_really_am,identity, 11 100000000 110
myself_as_others_see_me,identity, 11 100000000 101
negotiator,identity, 11 010100000 000
neighbor,identity, 11 100000000 000
nephew,identity, 10 000000010 000
neurotic,identity, 11 000001000 000
newcomer,identity, 11 100000000 000
newlywed,identity, 11 000000011 000
newscaster,identity, 11 010100000 000
niece,identity, 01 000000010 000
night_watchman,identity, 10 011000000 000
ninny,identity, 11 100000000 000
nitwit,identity, 11 100000000 000
nobody,identity, 11 100000000 000
nonconformist,identity, 11 100000000 000
nonsmoker,identity, 11 100001000 000
novice,identity, 11 010100100 000
nurse,identity, 11 000001000 001
nut,identity, 11 100000000 000
nutritionist,identity, 11 010001000 000
oddball,identity, 11 100000000 000
offender,identity, 11 001000000 000
old_geezer,identity, 10 100000000 100
onlooker,identity, 11 100000000 000
ophthalmologist,identity, 11 000001000 000
opponent,identity, 11 100100000 000
opportunist,identity, 11 110100000 000
optimist,identity, 11 100000000 000
organizer,identity, 11 110100100 000
orphan,identity, 11 000000010 000
outlaw,identity, 11 001000000 000
outsider,identity, 11 100000000 000
pagan,identity, 11 000000100 000
pal,identity, 11 100000000 000
paranoid,identity, 11 100001000 000
parent,identity, 11 000000010 001
parking_attendant,identity, 11 010000000 000
parolee,identity, 11 001000000 000
part_time_employee,identity, 11 010000000 000
partner,identity, 11 111000001 000
passenger,identity, 11 010000000 000
passerby,identity, 11 100000000 000
pastor,identity, 11 000000100 000
patient,identity, 11 000001000 001
patriot,identity, 11 000100000 000
patrolman,identity, 11 001000000 001
pawnbroker,identity, 11 010000000 000
pedestrian,identity, 11 100000000 000
pediatrician,identity, 11 000001000 001
peer,identity, 11 100100000 000
person,identity, 11 100000000 000
pessimist,identity, 11 100000000 000
pest,identity, 11 100000000 000
pharmacist,identity, 11 010001000 000
philanthropist,identity, 11 100000000 000
philosopher,identity, 11 000010000 000
phony,identity, 11 100000000 000
photographer,identity, 11 010000000 000
physician,identity, 11 000001000 001
physicist,identity, 11 000010000 000
pickpocket,identity, 11 001000000 000
pimp,identity, 10 011000001 000
plaintiff,identity, 11 001000000 000
playboy,identity, 10 100000001 000
plumber,identity, 11 010000000 000
police_officer,identity, 11 001000000 001
policeman,identity, 10 001000000 001
policewoman,identity, 01 001000000 001
politician,identity, 11 000100000 000
pornographer,identity, 11 010000001 000
pothead,identity, 11 100000000 000
preacher,identity, 11 000000100 000
president,identity, 11 000100000 000
priest,identity, 10 000000100 000
principal,identity, 11 000010000 000
prisoner,identity, 11 001000000 000
private_eye,identity, 11 001000000 001
probation_officer,identity, 11 001000000 000
probationer,identity, 11 001000000 000
prodigy,identity, 11 000010000 000
professional,identity, 11 011111000 000
professor,identity, 11 000010000 000
prosecuting_attorney,identity, 11 001000000 001
prosecutor,identity, 11 001000000 000
prostitute,identity, 01 010000001 001
prude,identity, 11 000000001 000
psychiatrist,identity, 11 000001000 000
psychoanalyst,identity, 11 000001000 000
psychologist,identity, 11 000011000 000
psychopath,identity, 11 001001000 000
psychotic,identity, 11 000001000 000
punk,identity, 10 100000000 000
pupil,identity, 11 000010000 000
puritan,identity, 11 000000101 000
pusher,identity, 11 101000000 000
quack,identity, 11 000001000 000
queer,identity, 11 000000001 000
rabbi,identity, 10 000000100 000
racist,identity, 11 100100000 000
racketeer,identity, 11 011000000 000
railroad_conductor,identity, 11 010000000 000
railroad_engineer,identity, 11 010000000 000
rake,identity, 10 000000001 001
rancher,identity, 11 010000000 000
rapist,identity, 10 001000001 001
rat,identity, 11 100000000 000
real_estate_agent,identity, 11 010000000 000
receptionist,identity, 11 011001000 000
redneck,identity, 10 100000000 000
referee,identity, 11 010010000 001
relation,identity, 11 000000010 000
relative,identity, 11 000000010 000
reporter,identity, 11 010100000 000
republican,identity, 11 000100000 000
researcher,identity, 11 000011000 000
reservist,identity, 11 000100000 000
restaurant_operator,identity, 11 010000000 000
retailer,identity, 11 010000000 000
retiree,identity, 11 110000010 000
ringleader,identity, 11 001000000 000
rival,identity, 11 100100001 000
robber,identity, 11 011000000 000
roofer,identity, 11 010000000 000
rookie_cop,identity, 11 001000000 001
roommate,identity, 11 000010000 000
runaway,identity, 11 000000010 000
sadist,identity, 11 000000001 001
safecracker,identity, 11 001000000 000
saint,identity, 11 000000100 000
salesclerk,identity, 11 010000000 000
salesperson,identity, 11 010000000 000
scapegoat,identity, 11 100100000 000
scatterbrain,identity, 11 100000000 000
schizophrenic,identity, 11 000001000 001
scholar,identity, 11 000010000 000
scientist,identity, 11 010010000 000
scoundrel,identity, 11 100000000 000
scrooge,identity, 11 110000000 000
