term,E,P,A,E2,P2,A2
compromise_with,1.76,1.62,-0.77,1.76,1.62,-0.77
concur_with,1.89,1.20,-0.62,1.89,1.20,-0.62
condemn,-0.88,-0.28,0.30,-0.88,-0.28,0.30
confess_to,1.61,1.57,-0.46,1.61,1.57,-0.46
confide_in,1.56,1.47,-0.63,1.56,1.47,-0.63
confine,0.46,0.60,0.18,0.46,0.60,0.18
congratulate,2.40,1.56,0.01,2.40,1.56,0.01
conspire_with,-2.47,-1.02,1.29,-2.47,-1.02,1.29
consult_with,2.07,1.57,-0.79,2.07,1.57,-0.79
contemplate,1.70,1.17,-0.33,1.70,1.17,-0.33
contradict,-0.27,0.41,0.28,-0.27,0.41,0.28
converse_with,1.61,1.26,-0.29,1.61,1.26,-0.29
convict,-1.62,-0.55,0.91,-1.62,-0.55,0.91
correct,1.40,1.53,-0.63,1.40,1.53,-0.63
counsel,2.18,1.58,-0.48,2.18,1.58,-0.48
criticize,-0.18,0.04,0.89,-0.18,0.04,0.89
curry_favor_from,1.52,0.99,-0.36,1.52,0.99,-0.36
curse,-2.67,-1.21,2.17,-2.67,-1.21,2.17
cut_the_pay_of,-2.03,-0.86,1.47,-2.03,-0.86,1.47
dance_with,1.11,0.86,0.68,1.11,0.86,0.68
defeat,0.82,1.15,0.20,0.82,1.15,0.20
defend,2.79,2.43,-0.22,2.79,2.43,-0.22
defer_to,-1.51,-1.88,0.06,-1.51,-1.88,0.06
defy,1.53,1.48,0.73,1.53,1.48,0.73
delay,-0.96,-0.49,0.41,-0.96,-0.49,0.41
demean,-1.71,-1.04,1.06,-1.71,-1.04,1.06
denigrate,-2.57,-1.75,1.80,-2.57,-1.75,1.80
denounce,-1.39,-0.64,0.70,-1.39,-0.64,0.70
deny_something_to,-1.67,-0.98,1.09,-1.67,-0.98,1.09
deprecate,-1.47,-0.77,1.09,-1.47,-0.77,1.09
desire_sexually,-1.71,-0.98,1.37,-1.71,-0.98,1.37
dicker_with,-2.21,-1.58,1.19,-2.21,-1.58,1.19
direct,1.72,1.28,-0.27,1.72,1.28,-0.27
disagree_with,0.06,0.58,0.60,0.06,0.58,0.60
discipline,-0.47,0.43,0.67,-0.47,0.43,0.67
discourage,-0.24,-0.32,0.11,-0.24,-0.32,0.11
discuss_something_with,1.78,1.38,-0.48,1.78,1.38,-0.48
disobey,-1.94,-0.22,1.25,-1.94,-0.22,1.25
disparage,-1.65,-0.85,1.27,-1.65,-0.85,1.27
distract,-1.77,-0.59,1.34,-1.77,-0.59,1.34
divorce,-0.59,-0.25,0.71,-0.59,-0.25,0.71
dote_on,1.01,0.27,-0.43,1.01,0.27,-0.43
draw_near_to,1.55,1.10,-0.11,1.55,1.10,-0.11
dress,-0.16,-0.15,0.06,-0.16,-0.15,0.06
drone_on_at,-1.39,-0.78,0.52,-1.39,-0.78,0.52
eat_with,1.79,1.02,-0.47,1.79,1.02,-0.47
elbow,-0.64,-0.10,0.34,-0.64,-0.10,0.34
employ,1.90,1.56,-0.30,1.90,1.56,-0.30
encourage,2.60,2.21,-0.03,2.60,2.21,-0.03
entertain,1.69,1.20,0.01,1.69,1.20,0.01
escape,1.67,0.87,-0.08,1.67,0.87,-0.08
examine,-0.09,0.08,0.41,-0.09,0.08,0.41
excuse,1.52,1.12,-0.62,1.52,1.12,-0.62
exonerate,1.76,1.53,-0.22,1.76,1.53,-0.22
explain_something_to,2.30,2.30,-0.28,2.30,2.30,-0.28
exploit,-2.43,-1.29,1.10,-2.43,-1.29,1.10
extol,-0.04,0.09,-0.12,-0.04,0.09,-0.12
eye,0.07,0.24,-0.15,0.07,0.24,-0.15
face,1.54,1.34,0.52,1.54,1.34,0.52
feed_something_to,2.48,2.03,-0.02,2.48,2.03,-0.02
financially_back,1.82,2.02,-0.23,1.82,2.02,-0.23
fine,0.14,0.34,0.19,0.14,0.34,0.19
fire_from_a_job,-2.38,-0.58,1.32,-2.38,-0.58,1.32
flatter,-0.73,-0.81,0.53,-0.73,-0.81,0.53
flee,-2.20,-0.84,0.81,-2.20,-0.84,0.81
flirt_with,-0.70,-0.43,0.19,-0.70,-0.43,0.19
flunk,-2.73,-1.41,0.99,-2.73,-1.41,0.99
follow,-1.24,-0.84,0.37,-1.24,-0.84,0.37
forget,-1.31,-0.35,0.11,-1.31,-0.35,0.11
forgive,3.00,2.11,-0.81,3.00,2.11,-0.81
fornicate_with,-2.70,-1.60,1.94,-2.70,-1.60,1.94
frown_at,-1.83,-0.67,1.14,-1.83,-0.67,1.14
gape_at,-1.91,-1.04,0.89,-1.91,-1.04,0.89
gawk_at,-1.64,-0.93,0.70,-1.64,-0.93,0.70
gaze_at,-0.72,-0.64,0.06,-0.72,-0.64,0.06
giggle_at,-1.51,-0.80,1.13,-1.51,-0.80,1.13
giggle_with,0.93,0.51,0.78,0.93,0.51,0.78
give_instructions_to,1.16,1.27,-0.31,1.16,1.27,-0.31
give_medical_treatment_to,2.29,1.52,-0.21,2.29,1.52,-0.21
give_raise_to,2.13,1.76,-0.05,2.13,1.76,-0.05
glance_at,0.63,0.59,0.07,0.63,0.59,0.07
glare_at,-1.37,-0.29,0.79,-1.37,-0.29,0.79
glorify,-0.05,-0.25,0.33,-0.05,-0.25,0.33
gossip_with,-1.59,-0.63,1.00,-1.59,-0.63,1.00
grade,1.80,1.60,-0.03,1.80,1.60,-0.03
greet,2.15,1.74,-1.02,2.15,1.74,-1.02
grin_at,1.63,1.34,-0.03,1.63,1.34,-0.03
groom,1.36,1.14,-0.11,1.36,1.14,-0.11
guide,2.39,1.68,-0.52,2.39,1.68,-0.52
gyp,-2.46,-1.19,1.64,-2.46,-1.19,1.64
halt,-0.14,0.03,-0.21,-0.14,0.03,-0.21
hand_something_to,1.50,1.42,-0.75,1.50,1.42,-0.75
handcuff,-0.27,0.66,0.36,-0.27,0.66,0.36
harm,-2.59,-0.96,2.06,-2.59,-0.96,2.06
have_sex_with,-1.82,-0.37,1.53,-1.82,-0.37,1.53
heal,2.11,1.38,-1.07,2.11,1.38,-1.07
heckle,-1.58,-0.53,1.13,-1.58,-0.53,1.13
hire,-1.17,-0.48,0.74,-1.17,-0.48,0.74
hold,0.24,0.83,0.76,0.24,0.83,0.76
horse_around_with,-1.04,-0.21,0.59,-1.04,-0.21,0.59
hug,0.93,0.92,-0.20,0.93,0.92,-0.20
hurry,-0.59,0.01,1.01,-0.59,0.01,1.01
hurt,-2.69,-0.31,1.79,-2.69,-0.31,1.79
ignore,-1.59,-1.00,0.70,-1.59,-1.00,0.70
imitate,-1.08,-0.92,0.61,-1.08,-0.92,0.61
incarcerate,-1.91,-0.76,1.33,-1.91,-0.76,1.33
incriminate,-1.93,-0.58,1.35,-1.93,-0.58,1.35
indoctrinate,0.17,0.40,0.10,0.17,0.40,0.10
inform,0.78,0.61,0.15,0.78,0.61,0.15
inject_with_medicine,0.53,0.90,-0.51,0.53,0.90,-0.51
injure,-2.35,-0.47,1.57,-2.35,-0.47,1.57
inspect,0.12,-0.09,-0.08,0.12,-0.09,-0.08
insult,-2.54,-1.19,1.58,-2.54,-1.19,1.58
interrogate,0.55,0.73,-0.31,0.55,0.73,-0.31
interrupt,-2.44,-1.28,1.97,-2.44,-1.28,1.97
interview,1.57,1.18,-0.29,1.57,1.18,-0.29
jail,-1.31,-0.52,0.87,-1.31,-0.52,0.87
jeer,-2.17,-0.79,1.57,-2.17,-0.79,1.57
joggle,0.36,0.18,-0.22,0.36,0.18,-0.22
join_up_with,1.59,1.33,-0.39,1.59,1.33,-0.39
joke_with,1.54,1.20,0.35,1.54,1.20,0.35
josh,1.72,0.74,-0.87,1.72,0.74,-0.87
kick,-2.06,-0.22,1.89,-2.06,-0.22,1.89
kill,-3.10,-0.98,2.00,-3.10,-0.98,2.00
kiss,1.52,0.92,0.03,1.52,0.92,0.03
knife,-2.75,-0.99,2.17,-2.75,-0.99,2.17
knock_out,-2.73,-0.82,2.39,-2.73,-0.82,2.39
laud,0.91,0.50,-0.08,0.91,0.50,-0.08
laugh_at,-1.83,-1.34,0.98,-1.83,-1.34,0.98
laugh_with,1.69,1.08,0.44,1.69,1.08,0.44
lay_off_from_a_job,-1.41,-0.16,0.92,-1.41,-0.16,0.92
lead,0.08,0.92,0.55,0.08,0.92,0.55
leave,-1.65,-0.44,1.06,-1.65,-0.44,1.06
lecture,1.67,1.20,-0.48,1.67,1.20,-0.48
leer_at,-1.75,-0.48,1.19,-1.75,-0.48,1.19
lend_money_to,1.45,1.07,-0.77,1.45,1.07,-0.77
lie_to,-2.41,-1.84,1.30,-2.41,-1.84,1.30
listen_to,1.85,1.68,-1.13,1.85,1.68,-1.13
look_at,-0.18,0.27,-0.33,-0.18,0.27,-0.33
look_away_from,-0.27,0.07,0.16,-0.27,0.07,0.16
lunch_with,1.99,1.24,-0.59,1.99,1.24,-0.59
lust_for,-0.07,-0.06,0.55,-0.07,-0.06,0.55
make_business_proposal_to,2.49,1.92,-0.26,2.49,1.92,-0.26
make_fun_of,-2.43,-1.00,1.70,-2.43,-1.00,1.70
make_love_to,-1.00,-0.16,0.67,-1.00,-0.16,0.67
make_up_with,2.76,2.39,-0.34,2.76,2.39,-0.34
malign,-2.03,-1.38,1.59,-2.03,-1.38,1.59
marry,1.87,1.30,0.03,1.87,1.30,0.03
massage,0.32,0.54,-0.13,0.32,0.54,-0.13
medicate,1.38,1.44,-0.43,1.38,1.44,-0.43
mimic,-0.41,-0.60,0.43,-0.41,-0.60,0.43
molest,-2.83,-1.38,1.38,-2.83,-1.38,1.38
monitor,-1.59,-0.57,0.64,-1.59,-0.57,0.64
mother,2.79,2.40,-0.75,2.79,2.40,-0.75
mouth_off_to,-0.82,-0.14,0.99,-0.82,-0.14,0.99
mug,-2.21,-0.25,1.72,-2.21,-0.25,1.72
mumble_to,-0.28,-0.49,0.08,-0.28,-0.49,0.08
murder,-2.53,-0.15,2.12,-2.53,-0.15,2.12
nag,-1.99,-0.83,1.40,-1.99,-0.83,1.40
neglect,-1.72,-0.89,0.72,-1.72,-0.89,0.72
negotiate_with,1.54,1.47,-0.07,1.54,1.47,-0.07
nestle,2.19,1.83,-0.56,2.19,1.83,-0.56
nudge,-0.27,0.27,0.20,-0.27,0.27,0.20
obey,1.37,0.52,-0.92,1.37,0.52,-0.92
observe,0.92,0.89,-0.34,0.92,0.89,-0.34
obstruct,-2.22,-0.33,1.64,-2.22,-0.33,1.64
oppose,0.15,0.13,0.04,0.15,0.13,0.04
order,-0.39,-0.01,0.60,-0.39,-0.01,0.60
overcharge,-1.48,-0.50,1.07,-1.48,-0.50,1.07
overpower,1.09,1.34,0.85,1.09,1.34,0.85
overwork,-1.17,-0.10,0.63,-1.17,-0.10,0.63
pamper,0.42,0.19,0.08,0.42,0.19,0.08
pay_for,0.85,0.82,0.24,0.85,0.82,0.24
pay_for_something,1.14,0.51,-0.44,1.14,0.51,-0.44
peek_at,-1.10,-1.09,0.01,-1.10,-1.09,0.01
peep_at,-2.21,-1.24,0.45,-2.21,-1.24,0.45
