term,E,P,A,E2,P2,A2
smoker,-1.81,-1.55,1.47,-1.81,-1.55,1.47
son,2.21,1.17,0.07,2.21,1.17,0.07
son_in_law,0.89,0.42,-0.35,0.89,0.42,-0.35
soulmate,2.34,2.15,-1.62,2.34,2.15,-1.62
spendthrift,-2.03,-1.11,1.03,-2.03,-1.11,1.03
spinster,-0.73,-1.05,0.52,-0.73,-1.05,0.52
spokesman,1.05,0.66,-0.15,1.05,0.66,-0.15
sponger,-2.02,-1.73,0.27,-2.02,-1.73,0.27
sports_fan,1.9,1.5,0.67,1.9,1.5,0.67
steady,2.08,1.13,-1.09,2.08,1.13,-1.09
stepchild,0.88,0.34,-0.68,0.88,0.34,-0.68
stepfather,0.04,0.57,0.38,0.04,0.57,0.38
stoolpigeon,0.9,0.9,0.14,0.9,0.9,0.14
stranger,0.25,0.2,-0.25,0.25,0.2,-0.25
strike_breaker,-1.62,-0.58,1.49,-1.62,-0.58,1.49
strikeleader,0.41,1.34,1.56,0.41,1.34,1.56
stud,-1.68,-1,1.46,-1.68,-1,1.46
student,1.97,1.53,-0.12,1.97,1.53,-0.12
subordinate,-1.36,-1.41,-0.01,-1.36,-1.41,-0.01
superior,1.38,1.6,0.36,1.38,1.6,0.36
superordinate,1.72,1.37,-0.19,1.72,1.37,-0.19
supporter,1.13,0.7,-0.47,1.13,0.7,-0.47
surgeon,2.12,1.75,-1.71,2.12,1.75,-1.71
survivor,0.39,0.7,0.02,0.39,0.7,0.02
suspect,-1.71,-1.32,0.61,-1.71,-1.32,0.61
sweetheartf,1.9,0.48,-0.34,1.9,0.48,-0.34
sweetheartm,2.06,1.14,-0.04,2.06,1.14,-0.04
taxpayer,1.14,0.85,-0.22,1.14,0.85,-0.22
teacher,1.71,1.43,-0.31,1.71,1.43,-0.31
teammate,1.86,1.09,-0.3,1.86,1.09,-0.3
tease,-2.42,-1.41,1.07,-2.42,-1.41,1.07
teenager,0.62,0.5,1.29,0.62,0.5,1.29
temporary_worker,0.45,0,-0.49,0.45,0,-0.49
tenant,0.56,0.29,-0.27,0.56,0.29,-0.27
terrorist,-3.03,-1.44,1.31,-3.03,-1.44,1.31
thug,-1.82,-0.72,1.12,-1.82,-0.72,1.12
toddler,0.81,-1.23,-1,0.81,-1.23,-1
tomboy,-1.38,-0.6,0.9,-1.38,-0.6,0.9
tot,0.92,-1.36,-0.71,0.92,-1.36,-0.71
trainee,1.68,1,-0.74,1.68,1,-0.74
traitor,-2.4,-2.41,1.41,-2.4,-2.41,1.41
traveler,2.01,1.5,-0.61,2.01,1.5,-0.61
troublemaker,-2.09,-0.33,1.86,-2.09,-0.33,1.86
tutor,0.95,0.8,-0.34,0.95,0.8,-0.34
uncle,1.09,0.99,0.12,1.09,0.99,0.12
underachiever,-0.73,-1.22,-0.39,-0.73,-1.22,-0.39
underdog,-0.79,-0.49,0.61,-0.79,-0.49,0.61
undergraduate,0.02,-0.02,-0.14,0.02,-0.02,-0.14
unemployed_person,-0.91,-1.11,0.45,-0.91,-1.11,0.45
university_student,2.03,1.36,-0.56,2.03,1.36,-0.56
victim,-0.86,-1.86,-1.12,-0.86,-1.86,-1.12
villain,-2.79,-1.68,1.55,-2.79,-1.68,1.55
visitor,1.65,0.76,-1.27,1.65,0.76,-1.27
voter,0.97,1.08,-0.25,0.97,1.08,-0.25
waiter,1.31,1.11,-0.34,1.31,1.11,-0.34
waitress,1.38,0.62,-0.55,1.38,0.62,-0.55
whizkid,2.26,1.19,-1.16,2.26,1.19,-1.16
whore,-2,-1.61,1.37,-2,-1.61,1.37
widow,-0.12,-0.61,-0.81,-0.12,-0.61,-0.81
widower,-0.18,-0.26,-0.64,-0.18,-0.26,-0.64
wife,1.98,1.26,-0.72,1.98,1.26,-0.72
wife_abuser,-3.05,-2.02,1.95,-3.05,-2.02,1.95
windbag,-0.67,-0.62,0.46,-0.67,-0.62,0.46
winner,2.27,2.01,-0.3,2.27,2.01,-0.3
witness,1.43,0.95,-0.14,1.43,0.95,-0.14
woman,1.95,0.87,-0.57,1.95,0.87,-0.57
womanizer,-1.47,-0.74,1,-1.47,-0.74,1
workman,1.99,1.46,-0.08,1.99,1.46,-0.08
workmate,1.15,0.93,-0.52,1.15,0.93,-0.52
youngster,1.66,1.51,0.36,1.66,1.51,0.36
youthf,1.9,1.05,0.15,1.9,1.05,0.15
youthm,1.56,1.31,0.51,1.56,1.31,0.51
